name,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range
Holiday Inn NYC - Manhattan 6th Avenue - Chelsea,12/9/2017,12/10/2017,2,1,"125 W 26th St, New York City, NY 10001-6802",,"1,328",3.5,345,138-472
HGU New York,12/9/2017,12/10/2017,2,1,"34 E 32nd St, New York City, NY 10016-5503",Booking.com,209,4.5,422,195-487
Sanctuary Hotel New York,12/9/2017,12/10/2017,2,1,"132 West 47th Street, New York City, NY 10036-1502",Expedia.com,"4,085",4.5,545,234-555
Hotel Stanford,12/9/2017,12/10/2017,2,1,"43 West 32nd Street, New York City, NY 10001-3805",AMOMA,"1,648",4,323,124-429
"The Algonquin Hotel Times Square, Autograph Collection",12/9/2017,12/10/2017,2,1,"59 West 44th Street, Between Fifth & Sixth Ave, New York City, NY 10036",Autograph,"2,000",4,519,226-682
Royalton New York Hotel,12/9/2017,12/10/2017,2,1,"44 West 44th Street, New York City, NY 10036-6604",AMOMA,"2,268",4,532,222-588
The Maritime Hotel,12/9/2017,12/10/2017,2,1,"363 W 16th St, New York City, NY 10011-5902",Booking.com,664,4.5,340,259-490
Courtyard New York Manhattan/Upper East Side,12/9/2017,12/10/2017,2,1,"410 East 92nd Street, New York City, NY 10128-6881",Courtyard,884,4,339,159-503
SpringHill Suites New York Midtown Manhattan/Fifth Avenue,12/9/2017,12/10/2017,2,1,"25 W 37th St, New York City, NY 10018",Expedia.com,998,4.5,519,205-590
Andaz 5th Avenue,12/9/2017,12/10/2017,2,1,"485 5th Avenue, New York City, NY 10017-6149",Booking.com,"2,524",4.5,755,309-815
The GEM Hotel Chelsea,12/9/2017,12/10/2017,2,1,"300 W 22nd St, 22nd Street & 8th Avenue, New York City, NY 10011-2602",Agoda.com,"1,249",4,374,168-444
The Manhattan at Times Square Hotel,12/9/2017,12/10/2017,2,1,"790 7th Avenue at 51st Street, New York City, NY 10019",Hotels.com,"7,693",3.5,440,133-427
Hyatt Herald Square New York,12/9/2017,12/10/2017,2,1,"30 W 31st Street, New York City, NY 10001",AMOMA,981,4,452,204-559
Hotel Delmonico,12/9/2017,12/10/2017,2,1,"502 Park Ave, New York City, NY 10022-1108",,1,5,321,250-600
Oakwood at 777 6th Avenue,12/9/2017,12/10/2017,2,1,"777 Avenue of the Americas, New York City, NY 10001-6318",,,5,321,200-500
Doubletree by Hilton New York Times Square West,12/9/2017,12/10/2017,2,1,"350 W 40th St, New York City, NY 10018-1404",,671,3.5,324,144-522
Hotel 48LEX New York,12/9/2017,12/10/2017,2,1,"517 Lexington Avenue, New York City, NY 10017-1204",Orbitz.com,"1,518",4.5,483,260-588
Fairfield Inn & Suites New York Manhattan/Times Square,12/9/2017,12/10/2017,2,1,"330 West 40th Street, Between 8th Ave. & 9th Ave., New York City, NY 10018",AMOMA,"1,919",4,435,168-539
Mount Royal Hotel & Hostel,12/9/2017,12/10/2017,2,1,"315 West 94th Street, New York City, NY 10025-6829",,64,2,432,234-600
Staybridge Suites Times Square - New York City,12/9/2017,12/10/2017,2,1,"340 West 40th Street, New York City, NY 10018-1404",Agoda.com,"5,732",4.5,432,170-510
Courtyard New York Manhattan/Times Square West,12/9/2017,12/10/2017,2,1,"307 W 37th St, New York City, NY 10018-4202",Courtyard,"1,117",4.5,458,191-557
Hampton Inn Manhattan-Times Square North,12/9/2017,12/10/2017,2,1,"851 Eighth Avenue, New York City, NY 10019-6237",,"5,518",4.5,345,153-485
"Club Quarters Hotel, opposite Rockefeller Center",12/9/2017,12/10/2017,2,1,"25 W 51st St, off 5th Ave, New York City, NY 10019-6902",Hotels.com,"1,427",4,413,158-443
Hyatt House New York/Chelsea,12/9/2017,12/10/2017,2,1,"815 Avenue of the Americas, New York City, NY 10001",,245,4.5,423,187-541
The Milburn Hotel,12/9/2017,12/10/2017,2,1,"242 W 76th St, New York City, NY 10023-8232",CheapTickets,,4,254,108-381
U Hotel Fifth Avenue,12/9/2017,12/10/2017,2,1,"373 5th Ave, New York City, NY 10016-3307",Booking.com,"1,077",4,390,129-384
Courtyard New York Manhattan/Times Square,12/9/2017,12/10/2017,2,1,"114 W 40th St, New York City, NY 10018-2699",Courtyard,"1,465",4,609,195-566
Larchmont Hotel,12/9/2017,12/10/2017,2,1,"27 W 11th St, New York City, NY 10011",,502,4,143,90-249
Carnegie Hotel,12/9/2017,12/10/2017,2,1,"160 W 56th St, New York City, NY 10019-3866",Booking.com,85,4.5,529,244-595
Hotel Richland New York,12/9/2017,12/10/2017,2,1,"5 Allen Street, New York City, NY 10002",Hotels.com,,4,325,238-500
"Club Quarters Hotel, Grand Central",12/9/2017,12/10/2017,2,1,"128 E 45th St, New York City, NY 10017-3104",Expedia.com,639,4.5,359,154-444
Heritage Hotel New York City,12/9/2017,12/10/2017,2,1,"18 W 25th St, at 5th Avenue, New York City, NY 10010-2703",Priceline,794,3.5,305,134-411
The Melrose Hotel,12/9/2017,12/10/2017,2,1,"140 E 63rd St, New York City, NY 10065-7649",,,3,653,521-900
Broadway Plaza Hotel,12/9/2017,12/10/2017,2,1,"1155 Broadway, New York City, NY 10001-7516",,"1,436",4,342,139-420
Hotel 32 32,12/9/2017,12/10/2017,2,1,"32 E 32nd St, New York City, NY 10016",Booking.com,557,4,356,192-503
Archer Hotel New York,12/9/2017,12/10/2017,2,1,"45 West 38th Street, New York City, NY 10018-5501",,"3,098",4.5,561,229-569
Holiday Inn NYC - Lower East Side,12/9/2017,12/10/2017,2,1,"150 Delancey Street, New York City, NY 10002-3308",AMOMA,725,4,359,173-413
Hotel Giraffe by Library Hotel Collection,12/9/2017,12/10/2017,2,1,"365 Park Ave South, At 26th Street, New York City, NY 10016-8801",,"3,832",5,523,260-585
Hotel Metro,12/9/2017,12/10/2017,2,1,"45 W 35th St, New York City, NY 10001-2277",TripAdvisor,"4,232",4.5,394,185-466
PUBLIC,12/9/2017,12/10/2017,2,1,"215 Chrystie St, New York City, NY 10002",Orbitz.com,137,4,395,220-533
Fitzpatrick Grand Central Hotel,12/9/2017,12/10/2017,2,1,"141 East 44th Street, New York City, NY 10017-4006",,"2,294",4.5,452,171-475
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,12/9/2017,12/10/2017,2,1,"325 West 33rd Street, New York City, NY 10001",AMOMA,"1,397",4.5,403,197-630
The Evelyn,12/9/2017,12/10/2017,2,1,"7 East 27th Street, New York City, NY 10016-8701",AMOMA,"2,146",4,328,173-449
U Hotel,12/9/2017,12/10/2017,2,1,"373 5th Ave, New York City, NY",,3,3.5,934,650-1200
Hotel Belleclaire,12/9/2017,12/10/2017,2,1,"250 West 77th Street, New York City, NY 10024-6810",Agoda.com,"3,728",4,399,154-478
City Club Hotel,12/9/2017,12/10/2017,2,1,"55 W 44th St, New York City, NY 10036-6609",Booking.com,850,4,440,187-541
Beekman Apartments,12/9/2017,12/10/2017,2,1,"32 Beekman Pl, New York City, NY 10022-8034",,17,3,876,800-900
The Sherry-Netherland Hotel,12/9/2017,12/10/2017,2,1,"781 Fifth Avenue, At 59th Street, New York City, NY 10022-1092",,712,5,965,462-1234
Pod 39 Hotel,12/9/2017,12/10/2017,2,1,"145 E 39th Street, New York City, NY 10016-0913",Booking.com,"3,410",4,295,112-310
Hilton Times Square,12/9/2017,12/10/2017,2,1,"234 West 42nd Street, New York City, NY 10036-7215",,"6,941",4.5,456,186-584
Four Points by Sheraton Manhattan Midtown West,12/9/2017,12/10/2017,2,1,"446 10th Ave, New York City, NY 10001-1405",Booking.com,90,4.5,440,173-461
Safehouse Suites,12/9/2017,12/10/2017,2,1,"1600 Broadway, New York City, NY 10019",,,-1,698,591-900
Third Ave House,12/9/2017,12/10/2017,2,1,"215 E 81st St, New York City, NY 10028-2625",,4,3.5,456,391-800
W New York - Union Square,12/9/2017,12/10/2017,2,1,"201 Park Ave S, New York City, NY 10003-1634",Booking.com,"1,504",4,579,246-706
EVEN Hotel Times Square South,12/9/2017,12/10/2017,2,1,"321 West 35th St, New York City, NY 10001-1739",,"1,071",4.5,411,222-511
Broadway Tower,12/9/2017,12/10/2017,2,1,"216 W 103rd St, New York City, NY 10025-8713",,1,4,254,200-450
Hotel Americano,12/9/2017,12/10/2017,2,1,"518 W 27th St, New York City, NY 10001-5506",,434,3.5,415,231-648
The Benjamin,12/9/2017,12/10/2017,2,1,"125 East 50th Street, at Lexington Avenue, New York City, NY 10022-9501",Priceline,"2,740",4.5,541,223-673
"Hotel Henri, A Wyndham Hotel",12/9/2017,12/10/2017,2,1,"37 West 24th street, New York City, NY 10010",Priceline,"2,204",4,327,194-437
Hotel Carter,12/9/2017,12/10/2017,2,1,"250 W 43rd St, New York City, NY 10036-3970",,"4,294",2.5,112,95-150
The Lombardy,12/9/2017,12/10/2017,2,1,"111 E 56th St, New York City, NY 10022-2600",Booking.com,480,4,431,260-632
Envoy Club Suites,12/9/2017,12/10/2017,2,1,"377 E 33rd St, New York City, NY 10016-9474",,129,3.5,217,199-299
Oakwood at West 53rd,12/9/2017,12/10/2017,2,1,"310 W 53rd St # 312, New York City, NY 10019-5743",,0,-1,144,99-245
Park Savoy,12/9/2017,12/10/2017,2,1,"158 W 58th St, New York City, NY 10019-2128",Hotels.com,,3,211,133-223
Night Times Square,12/9/2017,12/10/2017,2,1,"157 West 47th Street, (between 6th & 7th Avenues), New York City, NY 10036-1503",AMOMA,"4,563",3.5,399,138-440
Hilton Garden Inn New York/West 35th Street,12/9/2017,12/10/2017,2,1,"63 West 35th Street, New York City, NY 10001-2202",,"5,248",4.5,372,170-479
The Marmara Park Avenue,12/9/2017,12/10/2017,2,1,"114 E 32nd St, New York City, NY 10016-5506",Booking.com,210,4.5,429,287-838
Crosby Street Hotel,12/9/2017,12/10/2017,2,1,"79 Crosby Street, New York City, NY 10012",,788,5,821,710-1173
Senton Hotel,12/9/2017,12/10/2017,2,1,"39 W 27th St, New York City, NY 10001-6900",,23,1.5,91,76-144
The Gregory Hotel,12/9/2017,12/10/2017,2,1,"42 W 35th St, New York City, NY 10001-2222",Booking.com,590,4,337,195-513
Off Soho Suites,12/9/2017,12/10/2017,2,1,"11 Rivington Street, New York City, NY 10002-1244",Hotels.com,,3.5,241,151-319
Hotel Hayden,12/9/2017,12/10/2017,2,1,"127 W 28th St, New York City, NY 10001-6102",Booking.com,192,4,405,182-463
Best Western Premier Herald Square,12/9/2017,12/10/2017,2,1,"50 W 36th Street, New York City, NY 10018",Travelocity,"1,844",4.5,466,150-463
Hotel St. James,12/9/2017,12/10/2017,2,1,"109 West 45th Street, New York City, NY 10036-4071",AMOMA,,3.5,199,174-334
Hotel on Rivington,12/9/2017,12/10/2017,2,1,"107 Rivington Street, New York City, NY 10002",Booking.com,"1,332",4,361,225-495
Ace Hotel New York,12/9/2017,12/10/2017,2,1,"20 West 29th Street, at Broadway, New York City, NY 10001-4502",Priceline,"1,745",4,359,201-544
Wall Street District Hotel,12/9/2017,12/10/2017,2,1,"22 Platt St, New York City, NY 10038-4805",,2,2,176,100-354
John Street Suites By Aba,12/9/2017,12/10/2017,2,1,"100 John St, New York City, NY 10038-3807",,0,-1,189,129-567
Kimpton Ink48 Hotel,12/9/2017,12/10/2017,2,1,"653 11th Avenue at 48th, New York City, NY 10036-2004",Booking.com,"3,219",4.5,430,213-525
Renaissance New York Midtown Hotel,12/9/2017,12/10/2017,2,1,"218 W 35th St, New York City, NY 10001-2562",Renaissance Hotels,710,4.5,467,227-669
Hampton Inn Manhattan Grand Central,12/9/2017,12/10/2017,2,1,"231 E 43rd St, New York City, NY 10017-4701",Hampton.com,"2,121",4.5,449,149-477
The Inn at Irving Place,12/9/2017,12/10/2017,2,1,"56 Irving Pl, New York City, NY 10003-2314",Hotels.com,,4,390,364-480
YourStay MidTown Apartments,12/9/2017,12/10/2017,2,1,"50 W 34th St, New York City, NY 10001-3097",,52,3,221,100-330
Hotel Plaza Athenee,12/9/2017,12/10/2017,2,1,"37 E 64th St, New York City, NY 10065-7003",Orbitz.com,689,4.5,719,347-906
Casablanca Hotel by Library Hotel Collection,12/9/2017,12/10/2017,2,1,"147 West 43rd Street, New York City, NY 10036-6575",,"5,821",5,371,255-455
"A Hospitality Company, Inc.",12/9/2017,12/10/2017,2,1,"247 W 35th St Fl 4, New York City, NY 10001-1908",,5,3,201,185-325
Ameritania Hotel,12/9/2017,12/10/2017,2,1,"230 West 54th Street, New York City, NY 10019-5594",AMOMA,"5,334",4.5,320,154-450
Signature Suites The Sullivan Suites,12/9/2017,12/10/2017,2,1,"179 Sullivan St, New York City, NY 10012-2545",,0,-1,322,291-450
Greenwich Hotel,12/9/2017,12/10/2017,2,1,"377 Greenwich St, New York City, NY 10013-2338",,533,4.5,876,716-914
Oakwood Cosmopolitan,12/9/2017,12/10/2017,2,1,"145 E 48th St, New York City, NY 10017-1254",,1,4,193,182-214
Beacon Light Motel,12/9/2017,12/10/2017,2,1,"Route 9, New York City, NY 12855",,1,3,211,190-250
Sutton Court Hotel Residences,12/9/2017,12/10/2017,2,1,"417 E 57th St, New York City, NY 10022-3018",,,4.5,213,182-214
Holiday Inn Express New York City Times Square,12/9/2017,12/10/2017,2,1,"343 West 39th Street, New York City, NY 10018-1401",,"2,176",4,317,134-447
Oakwood Bridge Tower Place,12/9/2017,12/10/2017,2,1,"401 E 60th St, New York City, NY 10022-1555",,0,-1,211,181-229
AC Hotel New York City Downtown,12/9/2017,12/10/2017,2,1,"151 Maiden Lane, New York City, NY 10005",,0,-1,371,199-519
Elk Hotel,12/9/2017,12/10/2017,2,1,"360 42nd Street, at Ninth Avenue, New York City, NY",,4,2.5,234,190-351
Moxy NYC Times Square,12/9/2017,12/10/2017,2,1,"485 7th Avenue, New York City, NY 10018",Hotels.com,,3.5,191,162-416
Kitano New York,12/9/2017,12/10/2017,2,1,"66 Park Ave, At 38th Street, New York City, NY 10016-3007",Travelocity,"1,175",4.5,539,232-653
Carvi Hotel New York,12/9/2017,12/10/2017,2,1,"152 E 55th St, New York City, NY 10022-4513",Booking.com,582,4.5,469,144-1145
Courtyard New York Manhattan/SoHo,12/9/2017,12/10/2017,2,1,"181 Varick St, New York City, NY 10014-4602",Priceline,568,4.5,404,215-582
Wyndham Midtown 45,12/9/2017,12/10/2017,2,1,"205 E 45th St, New York City, NY 10017-3301",Hotwire.com,,3.5,386,179-477
Lafayette International Guesthouse,12/9/2017,12/10/2017,2,1,"167.5 E 115th St, New York City, NY 10029-2002",,0,-1,212,190-300
Econo Lodge Times Square,12/9/2017,12/10/2017,2,1,"302 West 47th Street, New York City, NY 10036",EconoLodge,"1,241",4,305,129-384
Hampton Inn Manhattan/Times Square South,12/9/2017,12/10/2017,2,1,"337 West 39th Street, New York City, NY 10018-1401",AMOMA,"2,464",4,374,164-479
Hotel Wales,12/9/2017,12/10/2017,2,1,"1295 Madison Ave, New York City, NY 10128-1301",Cancelon,792,4,408,215-482
Hotel Chandler,12/9/2017,12/10/2017,2,1,"12 E 31st St, New York City, NY 10016-6702",Booking.com,"3,446",4.5,459,215-533
Oakwood Ocean At 1 West Street,12/9/2017,12/10/2017,2,1,"1 West St, New York City, NY 10004-1021",,0,-1,211,164-233
Signature Properties,12/9/2017,12/10/2017,2,1,"Suite#1AW, 160 Bleecker Street, New York City, NY 10012",,3,2,815,800-1234
La Quinta Inn & Suites Manhattan,12/9/2017,12/10/2017,2,1,"17 West 32nd St, New York City, NY 10001-3820",AMOMA,"2,604",4,343,128-362
Inn New York City,12/9/2017,12/10/2017,2,1,"266 W 71st St, New York City, NY 10023-3752",,,5,814,796-885
Oxbridge Apts Gramecy Park,12/9/2017,12/10/2017,2,1,"266 3rd Ave, New York City, NY 10010-7445",,1,3,289,190-350
La Semana Hotel,12/9/2017,12/10/2017,2,1,"25 W 24th St, New York City, NY 10010-3208",,,1.5,178,139-219
Comfort Inn Times Square South,12/9/2017,12/10/2017,2,1,"305 W 39th St, (39th St and 8th Ave), New York City, NY 10018-1401",,"1,151",4,237,163-414
Cambria Hotel & Suites - New York Times Square,12/9/2017,12/10/2017,2,1,"30 W 46th St, New York City, NY 10036-4500",AMOMA,825,4.5,391,172-544
Hyatt Place New York Midtown South,12/9/2017,12/10/2017,2,1,"52 W 36th St # 54, New York City, NY 10018-8029",Travelocity,"1,976",4,424,192-548
Crowne Plaza HY36 Midtown Manhattan,12/9/2017,12/10/2017,2,1,"320 W 36th St, New York City, NY 10018",CrownePlaza.com,78,5,499,228-486
Hotel 50 Bowery NYC,12/9/2017,12/10/2017,2,1,"50 Bowery, New York City, NY 10013-4801",TripAdvisor,463,5,399,203-506
Hotel Elysee by Library Hotel Collection,12/9/2017,12/10/2017,2,1,"60 E. 54th St., New York City, NY 10022-4642",TripAdvisor,"4,048",4.5,602,269-667
The Broome,12/9/2017,12/10/2017,2,1,"431 Broome St, New York City, NY 10013-5920",Priceline,485,5,530,284-668
The Bryant Park Hotel,12/9/2017,12/10/2017,2,1,"40 West 40th Street, New York City, NY 10018-2602",HotelQuickly,"3,715",4.5,608,281-722
"The Beekman, A Thompson Hotel",12/9/2017,12/10/2017,2,1,"123 Nassau St, New York City, NY 10038-2415",The Beekman,510,5,441,332-681
NobleDEN Hotel,12/9/2017,12/10/2017,2,1,"196 Grand Street, New York City, NY 10013-3712",Hotwire.com,720,4.5,432,203-405
Four Seasons Hotel New York Downtown,12/9/2017,12/10/2017,2,1,"27 Barclay Street, New York City, NY 10007",Orbitz.com,337,4.5,750,527-1459
"The Langham, New York, Fifth Avenue",12/9/2017,12/10/2017,2,1,"400 Fifth Avenue, New York City, NY 10018-2753",Agoda.com,"2,268",4.5,761,416-1204
LUMA Hotel Times Square,12/9/2017,12/10/2017,2,1,"120 W 41st St, New York City, NY 10036-7315",Booking.com,219,4.5,680,238-611
The Roxy Hotel Tribeca,12/9/2017,12/10/2017,2,1,"2 Avenue of the Americas, New York City, NY 10013-2401",Priceline,553,4.5,420,271-846
Baccarat Hotel & Residences New York,12/9/2017,12/10/2017,2,1,"28 West 53rd Street, New York City, NY 10019-6106",Orbitz.com,419,4.5,1375,802-1627
The French Quarters Guest Apartments,12/9/2017,12/10/2017,2,1,"346 W. 46th Street, New York City, NY 10036-3881",Booking.com,"1,147",4.5,339,209-586
1 Hotel Central Park,12/9/2017,12/10/2017,2,1,"1414 Avenue of the Americas, New York City, NY 10019-2514",Travelocity,"1,389",4.5,759,357-878
Q&A Residential Hotel,12/9/2017,12/10/2017,2,1,"70 Pine Street, New York City, NY 10005-1522",Booking.com,480,4.5,329,221-502
Park Hyatt New York,12/9/2017,12/10/2017,2,1,"153 West 57th Street, New York City, NY 10019-2214",Hyatt.com,"1,512",4.5,1275,648-1522
The Kimberly Hotel,12/9/2017,12/10/2017,2,1,"145 East 50th Street, New York City, NY 10022-9502",Hotwire.com,"1,903",4.5,432,240-712
The Pearl Hotel,12/9/2017,12/10/2017,2,1,"233 West 49th Street, New York City, NY 10019-7404",Travelocity,"2,416",4.5,670,272-707
Refinery Hotel,12/9/2017,12/10/2017,2,1,"63 West 38th Street, New York City, NY 10018-3818",Priceline,"4,174",4.5,559,272-653
EVEN Hotel New York - Midtown East,12/9/2017,12/10/2017,2,1,"219 E 44th St, New York City, NY 10017-4305",Even Hotels,393,4.5,389,192-451
The Mark,12/9/2017,12/10/2017,2,1,"Madison Avenue at 77th Street, 25 East 77th Street, New York City, NY 10078",TripAdvisor,746,4.5,945,507-1571
Edge Hotel,12/9/2017,12/10/2017,2,1,"514 W 168th St, New York City, NY 10032-4103",AMOMA,270,4.5,277,171-411
"Gild Hall, a Thompson Hotel",12/9/2017,12/10/2017,2,1,"15 Gold Street, Main Entrance on Platt Street, New York City, NY 10038-4803",TripAdvisor,"1,680",4.5,377,197-597
Loews Regency New York Hotel,12/9/2017,12/10/2017,2,1,"540 Park Avenue, 61st Street, New York City, NY 10065-7366",Orbitz.com,"1,610",4.5,739,293-982
"The Ritz-Carlton New York, Central Park",12/9/2017,12/10/2017,2,1,"50 Central Park South, New York City, NY 10019-1613",TripAdvisor,"1,522",4.5,1295,765-1966
"The Chatwal, A Luxury Collection Hotel, New York",12/9/2017,12/10/2017,2,1,"130 W 44th St, New York City, NY 10036-4011",LuxuryCollection,"1,186",4.5,845,561-1088
The Lex NYC,12/9/2017,12/10/2017,2,1,"67 Lexington Ave, New York City, NY 10010-1833",TripAdvisor,705,4.5,369,153-438
Residence Inn New York Manhattan / Midtown East,12/9/2017,12/10/2017,2,1,"148 East 48th Street, New York City, NY 10017",TripAdvisor,"1,702",4.5,409,199-591
The Iroquois New York,12/9/2017,12/10/2017,2,1,"49 W 44th St, btwn 5th & 6th Aves, New York City, NY 10036-6613",Booking.com,"3,766",4.5,559,224-601
The St. Regis New York,12/9/2017,12/10/2017,2,1,"2 East 55th Street, at Fifth Avenue, New York City, NY 10022",StRegis.com,742,4.5,1345,840-1534
San Carlos Hotel,12/9/2017,12/10/2017,2,1,"150 East 50th Street, New York City, NY 10022-9500",AMOMA,"1,454",4.5,439,267-532
Cambria hotel & suites New York - Chelsea,12/9/2017,12/10/2017,2,1,"123 W 28th Street, New York City, NY 10001-6120",CambriaHotels,903,4.5,399,167-448
The New York EDITION,12/9/2017,12/10/2017,2,1,"5 Madison Ave, New York City, NY 10010-3678",EDITION,"1,085",4.5,816,393-1105
Hyatt Centric Times Square New York,12/9/2017,12/10/2017,2,1,"135 West 45th Street, New York City, NY 10036-4004",Booking.com,"4,003",4.5,603,217-630
The NoMad Hotel,12/9/2017,12/10/2017,2,1,"1170 Broadway uf hfhdj, New York City, NY 10001-7507",TripAdvisor,833,4.5,625,359-764
The Peninsula New York,12/9/2017,12/10/2017,2,1,"700 Fifth Avenue at 55th Street, New York City, NY 10019",The Peninsula,"1,117",4.5,1186,581-1643
Park South Hotel,12/9/2017,12/10/2017,2,1,"124 East 28th Street, New York City, NY 10016-8402",Booking.com,"2,393",4.5,404,197-504
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",12/9/2017,12/10/2017,2,1,"312 West 37th Street, New York City, NY 10018-4208",Homewood,"2,537",4.5,424,182-500
Conrad New York,12/9/2017,12/10/2017,2,1,"102 North End Avenue, New York City, NY 10282-1238",AMOMA,"3,374",4.5,293,305-690
the Quin,12/9/2017,12/10/2017,2,1,"101 West 57th Street, at 6th Avenue, New York City, NY 10019-2215",Priceline,"2,883",4.5,919,278-748
The Michelangelo Hotel,12/9/2017,12/10/2017,2,1,"152 West 51st Street, between 6th and 7th Avenues, New York City, NY 10019-6813",HotelQuickly,"3,633",4.5,607,286-751
Arlo NoMad,12/9/2017,12/10/2017,2,1,"11 E 31st St, New York City, NY 10016-6701",AMOMA,561,4.5,414,177-451
Kimpton Hotel Eventi,12/9/2017,12/10/2017,2,1,"851 Avenue of the Americas, New York City, NY 10001-4101",Booking.com,"3,447",4.5,483,252-622
Fitzpatrick Manhattan Hotel,12/9/2017,12/10/2017,2,1,"687 Lexington Ave, between 56th & 57th Street, New York City, NY 10022-2662",Elvoline,"1,318",4.5,506,198-536
The Bernic Hotel,12/9/2017,12/10/2017,2,1,"145 E 47th St, New York City, NY 10017-2007",HotelQuickly,227,4.5,407,182-506
"Mandarin Oriental, New York",12/9/2017,12/10/2017,2,1,"80 Columbus Circle at 60th Street, New York City, NY 10023-5800",Mandarin Oriental,"1,482",4.5,1395,765-2958
Chelsea Pines Inn,12/9/2017,12/10/2017,2,1,"317 West 14th Street, New York City, NY 10014-5015",Booking.com,"2,148",4.5,287,259-753
World Hotel,12/9/2017,12/10/2017,2,1,"101 Bowery, New York City, NY 10002-4900",Expedia.com,373,1.5,75,50-165
The Jane,12/9/2017,12/10/2017,2,1,"113 Jane Street, New York City, NY 10014-1700",Hotwire.com,"1,412",4,110,122-291
Blue Moon Hotel,12/9/2017,12/10/2017,2,1,"100 Orchard St, New York City, NY 10002-3106",Booking.com,553,4,114,73-303
Morningside Inn,12/9/2017,12/10/2017,2,1,"235 W 107th St, New York City, NY 10025-3096",Agoda.com,859,3,125,86-157
U.S. Pacific Hotel,12/9/2017,12/10/2017,2,1,"106 Bowery, New York City, NY 10013-4727",Booking.com,54,2.5,130,80-219
Hotel Pennsylvania New York,12/9/2017,12/10/2017,2,1,"401 Seventh Avenue at 33rd Street, New York City, NY 10001",AMOMA,"5,127",2.5,158,110-334
Riverside Tower Hotel,12/9/2017,12/10/2017,2,1,"80 Riverside Dr, New York City, NY 10024-5725",Hotels.com,668,3,160,95-199
Hotel 31,12/9/2017,12/10/2017,2,1,"120 East 31 Street, New York City, NY 10016-6809",Booking.com,"1,573",4,169,91-214
Royal Park Hotel,12/9/2017,12/10/2017,2,1,"258 West 97th Street, New York City, NY 10025-6218",Hotwire.com,649,3,169,81-225
Flushing Motel,12/9/2017,12/10/2017,2,1,"3450 Linden Pl, New York City, NY 11354-2825",Booking.com,5,3,180,110-209
Astor on the Park,12/9/2017,12/10/2017,2,1,"465 Central Park West, New York City, NY 10025-3851",Priceline,"1,529",3.5,183,120-315
Windsor Hotel,12/9/2017,12/10/2017,2,1,"108 Forsyth St, New York City, NY 10002-5102",Booking.com,254,2.5,196,99-273
Chelsea Inn - 17th Street,12/9/2017,12/10/2017,2,1,"46 W 17th St, New York City, NY 10011-5705",Priceline,144,3,202,105-263
Chelsea Savoy Hotel,12/9/2017,12/10/2017,2,1,"204 W 23rd St, New York City, NY 10011-2301",TripAdvisor,669,4,211,134-271
Seton Hotel,12/9/2017,12/10/2017,2,1,"144 East 40th Street, New York City, NY 10016-1762",HotelQuickly,814,4,213,125-429
