OBJECTID,PHONE,ZIP,GIS_ID,ADDRESS,NUMROOMS,NAME,X,Y,ADDRID
1,202-543-1020,20003,Htl_1,134 12TH STREET SE,5,A CAPITOL PLACE,400869.56,135613.84,66757
2,202-745-3600,20009,Htl_2,1746 LANIER PLACE NW,26,ADAMS INN,396392.87,139629.97,307146
3,202-904-2500,20006,Htl_3,1710 H STREET NW,142,AKA WHITE HOUSE,396504.91,136901.48,218432
4,202-331-1224,20037,Htl_4,2224 F STREET NW,50,ALLEN LEE HOTEL,395691.86,136591.26,242724
5,202-588-1180,20009,Htl_5,2005 COLUMBIA ROAD NW,12,AMERICAN GUEST HOUSE,396015.73,138872.49,235122
6,202-570-3440,20010,Htl_6,1207 KENYON STREET NW,6,ASANTE SANA GUEST QUARTERS,397537.26,140226.6,231121
7,202-333-8060,20037,Htl_7,2500 PENNSYLVANIA AVENUE NW,124,AVENUE SUITES HOTEL,395344.68,137287.83,273885
8,202-296-2100,20036,Htl_8,1615 RHODE ISLAND AVENUE NW,60,BEACON HOTEL AND CORPORATE QUARTERS,396699.75,137688.48,279263
9,202-457-0565,20037,Htl_9,1121 NEW HAMPSHIRE AVENUE NW,76,BEST WESTERN GEORGETOWN HOTEL & SUITES,395840.73,137384.06,242738
10,1-800-278-7338,20005,Htl_10,733 15TH STREET NW,,BRIDGE STREET AT WOODWARD BUILDING,397105.09,136887.3,279921
11,202-529-3900,20002,Htl_11,1615 NEW YORK AVENUE NE,58,BUDGET MOTOR INN,401693.61,138754.31,286348
12,202-617-2400,20007,Htl_12,1050 31ST STREET NW,61,ROSEWOOD,394669.37,137349.83,273780
13,202-393-1000,20036,Htl_13,1001 16TH STREET NW,544,CAPITAL HILTON,396883.19,137252.47,278775
14,202-484-1000,20024,Htl_14,480 L'ENFANT PLAZA SW,372,L'ENFANT PLAZA HOTEL,397885.97,135118.5,302307
15,202-450-3450,20001,Htl_15,301 I STREET NW,,CAPITAL VIEW HOSTEL,398661.38,137068.23,289320
16,202-543-6000,20003,Htl_16,200 C STREET SE,152,CAPITOL HILL HOTEL,399733.27,135376.88,278017
17,202-488-7500,20024,Htl_17,10 I STREET SW,203,CAPITOL SKYLINE HOTEL,399155.72,134576.96,276385
18,202-234-3200,20009,Htl_18,1731 NEW HAMPSHIRE AVENUE NW,170,CARLYLE SUITES HOTEL,396576.77,138386.85,241652
19,202-797-2000,20009,Htl_20,1914 CONNECTICUT AVENUE NW,173,CHURCHILL EMBASSY ROW,395927.4,138724.01,235060
20,202-463-6400,20006,Htl_21,839 17TH STREET NW,185,CLUB QUARTERS,396596.19,137025.43,218777
21,202-832-3200,20002,Htl_22,1600 NEW YORK AVENUE NE,134,QUALITY INN  & SUITES NEW YORK AVE,401736.92,138839.79,60554
22,202-682-5300,20005,Htl_23,1201 13TH STREET NW,100,COMFORT INN DOWNTOWN DC/CONVENTION CENTER WASHINGTON,397454.33,137561.18,240912
23,202-638-4600,20004,Htl_24,900 F STREET NW,188,COURTYARD - CONVENTION CENTER,397889.76,136579.88,243269
24,202-332-9300,20009,Htl_25,1900 CONNECTICUT AVENUE NW,147,COURTYARD - DUPONT CIRCLE,395935.01,138685.68,235054
25,202-293-8000,20036,Htl_26,1600 RHODE ISLAND AVENUE NW,158,COURTYARD - EMBASSY ROW,396793.26,137645.95,242882
26,202-296-5700,20006,Htl_27,515 20TH STREET NW,149,COURTYARD - FOGGY BOTTOM,396123.41,136519.29,279821
27,202-898-4000,20002,Htl_28,1325 2ND STREET NE,218,COURTYARD - US CAPITOL,399725.6,137770.75,304846
28,202-497-6766,20003,Htl_29,140 L STREET SE,204,COUTRYARD - CAPITOL HILL NAVY YARD,399656.31,134430.27,299775
29,202-244-5600,20008,Htl_30,4400 CONNECTICUT AVENUE NW,155,DAYS INN CONNECTICUT AVE,394312.78,142119.11,222132
30,202-832-5800,20002,Htl_31,2700 NEW YORK AVENUE NE,195,DAYS INN GATEWAY,402549.67,138901.29,287175
31,202-506-7106,20001,Htl_32,1333 11TH STREET NW,,DC LOFTY HOSTEL,397680.45,137828.4,239320
32,202-232-7800,20005,Htl_33,1440 RHODE ISLAND AVENUE NW,58,DISTRICT HOTEL,397116.94,137792.42,218282
33,202-737-1200,20005,Htl_34,1155 14TH STREET NW,193,DONOVAN HOUSE,397261.85,137470.8,242940
34,202-232-7000,20005,Htl_35,1515 RHODE ISLAND AVENUE NW,220,DOUBLETREE HOTEL WASHINGTON,396920.3,137786.81,242312
35,202-232-7744,20008,Htl_36,2224 R STREET NW,11,EMBASSY CIRCLE GUEST HOUSE,395680.15,138285.65,234892
36,202-265-1600,20036,Htl_37,2015 MASSACHUSETTS AVENUE NW,231,EMBASSY ROW HOTEL,396037.26,138096.8,225934
37,202-362-9300,20015,Htl_38,4300 MILITARY ROAD NW,198,EMBASSY SUITES - CHEVY CHASE PAVILLION,392643.24,143654.27,301908
38,202-739-2001,20001,Htl_39,900 10TH STREET NW,382,EMBASSY SUITES - CONVENTION CENTER,397727.05,137129.18,300519
39,202-857-3388,20037,Htl_40,1250 22ND STREET NW,318,EMBASSY SUITES - DOWNTOWN,395711.33,137666.78,242364
40,1-800-735-7829,20036,Htl_41,2000 N STREET NW,,EXECUSTAY - THE FLATS AT DUPONT CIRCLE,396065.26,137690,242555
41,202-289-5959,20001,Htl_42,500 H STREET NW,189,FAIRFIELD INN AND SUITES - DOWNTOWN,398330.11,136867.3,242981
42,202-266-3000,20002,Htl_43,2305 NEW YORK AVENUE NE,126,FAIRFIELD INN AND SUITES - NEW YORK AVENUE,402472.6,138774.41,307042
43,202-342-0444,20007,Htl_45,2800 PENNSYLVANIA AVENUE NW,222,FOUR SEASONS HOTEL,395034.79,137427.61,279626
44,202-651-6000,20002,Htl_46,800 FLORIDA AVENUE NE,97,GALLAUDET UNIVERSITY KELLOGG CONFERENCE,400439.78,137546.46,288964
45,202-337-6620,20037,Htl_47,824 NEW HAMPSHIRE AVENUE NW,95,GEORGE WASHINGTON UNIVERSITY INN,395430.48,136931.62,274009
46,202-298-6021,20007,Htl_48,1832 WISCONSIN AVENUE NW,8,GEORGETOWN HILL INN,394121.48,138623.6,274540
47,202-333-8900,20007,Htl_49,1310 WISCONSIN AVENUE NW,96,GEORGETOWN INN,394486.89,137707.09,279035
48,202-298-7800,20007,Htl_50,1000 29TH STREET NW,222,GEORGETOWN SUITES,394938.04,137231.28,276422
49,202-687-3200,20007,Htl_51,3800 RESERVOIR ROAD NW,146,GEORGETOWN UNIVERSITY HOTEL & CONFERENCE CENTER,393470.87,138262.65,291547
50,202-298-7800,20007,Htl_52,1111 30TH STREET NW,220,GEORGETWON SUITES BUISNESS CENTER,394887.13,137391.1,294968
51,202-582-1234,20001,Htl_53,1000 H STREET NW,897,GRAND HYATT WASHINGTON,397702.33,136832.4,239368
52,202-682-0111,20005,Htl_54,1001 14TH STREET NW,301,HAMILTON CROWNE PLAZA HOTEL,397260.09,137229.87,240644
53,202-467-6777,20009,Htl_80,1620 T STREET NW,8,INN AT DUPONT CIRCLE (North),396747.46,138613.6,241881
54,202-467-6777,20036,Htl_81,1312 19TH STREET NW,8,INN AT DUPONT CIRCLE (South),396210.2,137765.64,241066
55,202-726-5808,20011,Htl_82,1441 KENNEDY STREET NW,12,INTERNATIONAL GUEST HOUSE,396932.7,143169.27,255891
56,202-448-2300,20036,Htl_83,1200 16TH STREET NW,96,JEFFERSON HOTEL,396794.58,137565.11,242021
57,202-393-2000,20004,Htl_84,1331 PENNSYLVANIA AVENUE NW,772,JW MARRIOTT,397278.55,136502.52,279081
58,202-726-5000,20007,Htl_85,3000 M STREET NW,,LATHAM HOTEL,394842.37,137468.6,273857
59,202-277-7847,20001,Htl_86,210 T STREET NW,2,LEDROIT PARK BED AND BREAKFEAST,398707.99,138650.04,229977
60,202-862-1600,20005,Htl_87,1177 15TH STREET NW,365,LOEWS MADISON HOTEL,397045.73,137501.85,240251
61,202-554-8588,20024,Htl_88,1330 MARYLAND AVENUE SW,400,MANDARIN ORIENTAL,397358.14,135085.41,297583
62,202-737-2200,20005,Htl_89,775 12TH STREET NW,459,MARRIOTT AT METRO CENTER,397589.74,136834.68,239130
63,202-955-6400,20037,Htl_90,2430 PENNSYLVANIA AVENUE NW,277,MELROSE HOTEL,395430.7,137240.97,279592
64,202-898-1200,20001,Htl_91,1015 L STREET NW,114,MORRISON-CLARK INN,397682.2,137390.94,239355
65,202-722-1600,20012,Htl_92,6711 GEORGIA AVENUE NW,72,MOTEL 6 WASHINGTON DC,397678.38,144905.56,285354
66,202-544-2000,20002,Htl_93,1345 4TH STREET NE,33,MOTEL 6 WASHINGTON DC/CONVENTION CENTER,400182.31,138034.17,66534
67,1-877-902-0832,20004,Htl_94,400 8TH STREET NW,,OAKWOOD,397984.56,136353.83,238147
68,202-234-0700,20008,Htl_95,2500 CALVERT STREET NW,832,OMNI SHOREHAM,395346.42,139418.29,277165
69,202-872-1680,20037,Htl_96,1 WASHINGTON CIRCLE NW,151,ONE WASHINGTON CIRCLE HOTEL,395686.8,137280.7,242366
70,202-789-1234,20037,Htl_97,1201 24TH STREET NW,216,PARK HYATT WASHINGTON,395565.69,137542.45,242765
71,202-638-6900,20001,Htl_98,520 NORTH CAPITOL STREET NW,149,PHOENIX PARK HOTEL,399177.8,136581.71,237156
72,202-775-0800,20037,Htl_99,1143 NEW HAMPSHIRE AVENUE NW,346,RENAISSANCE DUPONT CIRCLE,395874.56,137431.64,243210
73,202-898-9000,20001,Htl_100,999 9TH STREET NW,807,RENAISSANCE WASHINGTON DC DOWNTOWN,397945.24,137108.46,218802
74,202-898-1100,20005,Htl_101,1199 VERMONT AVENUE NW,202,RESIDENCE INN - DOWNTOWN,397192.18,137395.97,278914
75,202-466-6800,20037,Htl_102,2120 P STREET NW,107,RESIDENCE INN - DUPONT CIRCLE,395895.68,137950.94,279547
76,202-785-2000,20037,Htl_103,801 NEW HAMPSHIRE AVENUE NW,103,RESIDENCE INN - FOGGY BOTTOM,395467.93,136889.66,277506
77,202-484-8280,20024,Htl_104,333 E STREET SW,233,RESIDENCE INN CAPITOL,398617.82,135086.41,277584
78,202-835-0500,20037,Htl_105,1150 22ND STREET NW,300,RITZ-CARLTON,395743.76,137408.03,278889
79,202-912-4100,20007,Htl_106,3100 SOUTH STREET NW,86,RITZ-CARLTON GEORGETOWN,394648,137263.68,300061
80,202-337-7600,20037,Htl_107,924 25TH STREET NW,125,RIVER INN,395340.92,137064.7,273930
81,202-530-3600,20036,Htl_108,2033 M STREET NW,155,SAINT GREGORY,395985.66,137561.81,279520
82,202-337-9700,20007,Htl_109,2505 WISCONSIN AVENUE NW,150,SAVOY SUITES HOTEL,393691.04,139495.11,301508
83,202-638-2626,20006,Htl_110,923 16TH STREET NW,182,ST REGIS,396868.95,137139.51,242334
84,202-861-8200,20037,Htl_111,2117 E STREET NW,460,STATE PLAZA HOTEL,395879.38,136504.72,242537
85,202-265-4414,20009,Htl_112,1808 NEW HAMPSHIRE AVENUE NW,12,SWANN HOUSE LLC,396593.36,138522.13,241551
86,202-785-1277,20036,Htl_113,1739 N STREET NW,40,TABARD INN,396531.39,137733.56,218468
87,202-293-1888,20037,Htl_114,1523 22ND STREET NW,53,THE BARON HOTEL,395795.46,138049.28,225698
88,202-467-6777,20017,Htl_115,3742 12TH STREET NE,9,THE BROOKLAND INN,400754.36,140883.1,30873
89,202-557-2000,20036,Htl_116,1250 NEW HAMPSHIRE AVENUE NW,121,THE CONCORDIA,395929.32,137614.63,279009
90,202-332-5251,20009,Htl_117,1604 19TH STREET NW,6,THE DUPONT AT THE CIRCLE,396207.71,138167,241038
91,202-483-6000,20036,Htl_118,1500 NEW HAMPSHIRE AVENUE NW,327,THE DUPONT CIRCLE HOTEL,396262.53,138068.42,225560
92,202-540-5000,20001,Htl_119,933 L STREET NW,50,THE ELDON,397797.04,137397,239808
93,202-234-7800,20009,Htl_120,1627 16TH STREET NW,39,THE EMBASSY INN,396873.42,138263.7,242291
94,202-293-2100,20008,Htl_121,2100 MASSACHUSETTS AVENUE NW,259,THE FAIRFAX AT EMBASSY ROW,395921.69,138070.77,225940
95,202-429-2400,20037,Htl_122,2401 M STREET NW,415,THE FAIRMONT,395509.26,137522.61,273950
96,202-337-0900,20007,Htl_123,1075 THOMAS JEFFERSON STREET NW,57,THE GRAHAM GEORGETOWN,394802.56,137438.57,273855
97,202-588-8188,20008,Htl_124,2700 CATHEDRAL AVENUE NW,11,THE KALORAMA GUEST HOUSE,395185.03,140032.2,284453
98,202-638-1616,20001,Htl_125,415 NEW JERSEY AVENUE NW,343,THE LIASON CAPITOL HILL,399073.19,136393.57,237162
99,202-496-2000,20036,Htl_126,2020 O STREET NW,49,THE MANSION ON O STREET,396016.74,137836.91,243057
100,202-347-3000,20036,Htl_127,1127 CONNECTICUT AVENUE NW,657,THE MAYFLOWER RENAISSANCE HOTEL,396576.73,137399.13,241797
101,202-483-1350,20008,Htl_128,2118 WYOMING AVENUE NW,75,THE NORMANDY HOTEL,395877.57,138825.7,235029
102,202-223-4320,20036,Htl_129,1823 L STREET NW,99,THE QUINCY HOTEL,396295.71,137347.68,241297
103,202-223-4512,20037,Htl_130,601 24TH STREET NW,52,THE REMINGTON,395564.07,136692.52,226087
104,202-429-1700,20005,Htl_131,1400 M STREET NW,406,THE WESTIN,397099.84,137495.93,240254
105,202-628-9100,20004,Htl_132,1401 PENNSYLVANIA AVENUE NW,375,THE WILLARD INTER-CONTINENTAL,397194.15,136516.41,279129
106,202-393-3000,20036,Htl_133,1733 N STREET NW,99,TOPAZ HOTEL,396555.85,137729.62,241760
107,202-661-2400,20004,Htl_134,515 15TH STREET NW,317,W HOTEL,397103.43,136567.81,279820
108,202-628-2100,20001,Htl_135,525 NEW JERSEY AVENUE NW,265,WASHINGTON COURT HOTEL,399037.23,136551.16,279827
109,202-296-1008,20006,Htl_55,1729 H STREET NW,116,HAMPTON INN WASHINGTON DC/WHITE HOUSE,396434.21,136958.98,279355
110,202-842-4100,20001,Htl_56,901 6TH STREET NW,228,HAMPTON INN WASHINGTON DOWNTOWN CONVENTION CENTER,398295.53,137103.05,300640
111,202-638-6600,20006,Htl_57,800 16TH STREET NW,145,HAY-ADAMS HOTEL,396794.25,136964.26,279937
112,202-638-5200,20001,Htl_58,926 MASSACHUSETTS AVENUE NW,96,HENLEY PARK HOTEL,397770.07,137254.95,242922
113,202-483-3000,20009,Htl_59,1919 CONNECTICUT AVENUE NW,1070,HILTON - WASHINGTON DC,396076.89,138733.91,242829
114,202-783-7800,20005,Htl_60,815 14TH STREET NW,300,HILTON GARDEN INN - DOWNTOWN,397247.31,136979.78,279961
115,202-408-4870,20002,Htl_61,1225 1ST STREET NE,204,HILTON GARDEN INN - US CAPITOL,399512.86,137601.44,307284
116,202-266-9000,20002,Htl_62,1917 BLADENSBURG ROAD NE,125,HOLIDAY INN EXPRESS HOTEL & SUITES-NORTHEAST,402415.8,138732.96,286535
117,202-338-4600,20007,Htl_63,2101 WISCONSIN AVENUE NW,285,HOLIDAY INN GEORGETOWN,394068.55,138845.79,279531
118,202-479-4000,20024,Htl_64,550 C STREET SW,532,HOLIDAY INN WASHINGTON-CAPITOL,398297.18,135310.64,276671
119,202-483-2000,20005,Htl_65,1501 RHODE ISLAND AVENUE NW,212,HOLIDAY INN WASHINGTON-CENTRAL/WHITE HOUSE,396966.84,137806.79,242311
120,202-265-8000,20005,Htl_66,1475 MASSACHUSETTS AVENUE NW,175,HOMEWOOD SUITES,397087.19,137647,279197
121,202-737-2333,20001,Htl_67,1009 11TH STREET NW,250,HOSTELLING INTERNATIONAL,397679.23,137228.7,239366
122,202-347-4200,20001,Htl_68,15 E STREET NW,139,HOTEL GEORGE,399140.54,136505.23,237159
123,202-628-8140,20004,Htl_69,436 11TH STREET NW,242,HOTEL HARRINGTON,397631.61,136457.62,300863
124,202-462-9001,20005,Htl_70,1430 RHODE ISLAND AVENUE NW,178,HOTEL HELIX,397137.34,137802.82,279165
125,202-828-2600,20006,Htl_71,2019 PENNSYLVANIA AVENUE NW,140,HOTEL LOMBARDY,396016.94,137076.17,307825
126,202-296-7600,20036,Htl_72,1310 NEW HAMPSHIRE AVENUE NW,82,HOTEL MADERA,396031.56,137753.59,243325
127,202-628-7177,20004,Htl_73,700 F STREET NW,183,HOTEL MONACO,398051.36,136571.24,301590
128,202-448-1800,20037,Htl_74,2121 P STREET NW,335,HOTEL PALOMAR,395887.77,137995.72,225942
129,202-232-8000,20036,Htl_75,1315 16TH STREET NW,137,HOTEL ROUGE,396866.29,137823.52,242317
130,202-730-8800,20005,Htl_76,806 15TH STREET NW,237,HOTEL SOFITEL LAFAYETTE SQUARE,397051.78,136961.98,279949
132,202-737-1234,20001,Htl_78,400 NEW JERSEY AVENUE NW,836,HYATT REGENCY WASHINGTON ON CAPITOL HILL,398984.74,136391.14,279731
133,202-544-6011,20003,Htl_79,504 INDEPENDENCE AVENUE SE,,INDEPENDENCE HOUSE BED & BREAKFAST,400070.75,135549.76,14495
134,202-962-4482,20001,Htl_136,901 MASSACHUSETTS AVENUE NW,1175,WASHINGTON MARRIOT MARQUIS,397900.49,137268.87,239811
135,202-872-1500,20037,Htl_137,1221 22ND STREET NW,470,WASHINGTON MARRIOTT,395794.15,137580.78,300163
136,202-328-2000,20008,Htl_138,2660 WOODLEY ROAD NW,1300,WASHINGTON MARRIOTT WARDMAN PARK,395256.86,139650.43,284450
137,202-842-1300,20005,Htl_139,10 THOMAS CIRCLE NW,355,WASHINGTON PLAZA,397313.44,137599.78,298252
138,202-429-0100,20037,Htl_140,2350 M STREET NW,267,WESTIN GEORGETOWN,395568.16,137458.44,242338
139,202-462-7574,20009,Htl_141,1309 R STREET NW,10,WILLIAM LEWIS HOUSE BED & BREAKFAST,397388.27,138325.9,240527
140,202-667-0300,20009,Htl_142,1842 16TH STREET NW,58,WINDSOR INN,396795.86,138602.89,241907
141,202-483-7700,20008,Htl_143,2116 KALORAMA ROAD NW,43,WINDSOR PARK HOTEL,395789.75,138921.37,234981
142,202-667-0218,20008,Htl_144,2647 WOODLEY ROAD NW,15,WOODLEY PARK GUEST HOUSE,395340.51,139778.29,219986